0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
A1,1,0.033519553,0.006289308,0.043478261,0.116564417,0.313253012,0.29281768,0.302491103,0.273584906,0.303370787,0.052631579,0.090909091,0.33974359,0.089005236,0.025,0.133333333,0.046242775,0.12849162,0.074712644,0.133971292,0.360869565,0.105633803,0.295566502,0.268456376,0.205128205,0.129943503,0.129943503,0.614634146,0.117370892,0.136125654,0.154285714,0.12195122,0.123222749,0.148351648,0.152631579,0.122641509,0.111675127,0.273291925,0.281609195,0.240963855,0.302857143,0.281609195,0.246987952,0.218867925,0.066666667,0.064935065,0.275280899,0.048780488,0.048913043,0.185393258,0.069767442,0.096938776,0.105263158,0.090452261,0.056122449,0.098265896,0.065789474,0.151219512,0.156626506,0.119834711,0.042105263,0.042780749,0.142857143,0.208333333,0.138728324,0.080924855,0.024539877,0.058510638,0.070652174,0.123655914,0.042944785,0.15819209,0.077777778,0.078651685,0.082352941,0.049180328,0.108843537,0.100591716,0.082417582,0.136792453,0.167597765,0.25462963,0.037383178,0.021505376,0.132947977,0.162790698,0.116666667,0.125748503,0.095238095,0.467005076,0.192825112,0.130718954,0.203703704,0.18579235,0.405286344,0.108910891,0.018292683,0.023121387,0.089285714,0.076923077,0.042424242,0.15270936,0.094240838,0.067039106,0.036585366,0.042424242,0.151515152,0.06626506,0.073684211,0.084745763,0.005714286,0.082840237,0.059602649,0.08496732,0.269709544,0.165048544,0.067708333,0.032085561,0.129251701,0.174657534,0.069767442,0.0625,0.103030303,0.012658228,0.076923077,0.130136986,0.113924051,0.060747664,0.290456432,0.168604651,0.215,0.212121212,0.02484472,0.116959064,0.247663551,0.075268817,0.091503268,0.137254902,0.140625,0.021126761,0.23699422,0.066666667
H1,0.033519553,1,0.158730159,0.208955224,0.144578313,0.056451613,0.042553191,0.021978022,0.019230769,0.043165468,0.20212766,0.172727273,0.051724138,0.163461538,0.283333333,0.21875,0.205128205,0.23655914,0.19047619,0.181102362,0.03196347,0.09375,0.041420118,0.028268551,0.165354331,0.241758242,0.241758242,0.029535865,0.198412698,0.150442478,0.074766355,0.201680672,0.171875,0.173076923,0.147826087,0.198412698,0.118644068,0.063063063,0.054263566,0.0625,0.052238806,0.054263566,0.061946903,0.102803738,0.25,0.02972973,0.052631579,0.185185185,0.292682927,0.192307692,0.154761905,0.185185185,0.23,0.238095238,0.237113402,0.211764706,0.086956522,0.192,0.071428571,0.15,0.261363636,0.270588235,0.170940171,0.208333333,0.157894737,0.176470588,0.230769231,0.258426966,0.222222222,0.232323232,0.276923077,0.168316832,0.229885057,0.193181818,0.276315789,0.3125,0.070422535,0.269230769,0.279069767,0.19379845,0.161904762,0.142857143,0.261682243,0.303797468,0.184782609,0.153061224,0.252747253,0.24691358,0.347222222,0.030612245,0.162337662,0.075,0.161073826,0.181818182,0.026548673,0.223214286,0.26984127,0.168831169,0.215189873,0.233766234,0.25,0.214876033,0.270833333,0.238095238,0.23880597,0.214285714,0.205128205,0.2,0.27173913,0.206896552,0.348484848,0.333333333,0.073529412,0.067567568,0.028169014,0.108695652,0.268817204,0.341772152,0.039473684,0.11790393,0.114942529,0.3,0.202531646,0.089552239,0.08,0.068493151,0.072289157,0.272727273,0.12,0.075471698,0.181818182,0.186046512,0.164179104,0.181818182,0.161290323,0.361445783,0.095890411,0.101265823,0.157894737,0.054545455,0.024193548,0.265060241
F3,0.006289308,0.158730159,1,0.142857143,0.076923077,0.019230769,0.016666667,0.007936508,0.006872852,0.016949153,0.157894737,0.130434783,0.021052632,0.129411765,0.181818182,0.069767442,0.210526316,0.071428571,0.136363636,0.050420168,0.010050251,0.022727273,0.013422819,0.007575758,0.042372881,0.060240964,0.060240964,0.004587156,0.076923077,0.082474227,0.022727273,0.053571429,0.086956522,0.08988764,0.091836735,0.076923077,0.059405941,0.033333333,0.018348624,0.010752688,0.01754386,0.018348624,0.010638298,0.029268293,0.052631579,0.009936766,0.00877193,0.119565217,0.109589041,0.064516129,0.125,0.084210526,0.088888889,0.141304348,0.055555556,0.147058824,0.041666667,0.050847458,0.025641026,0.039215686,0.102564103,0.106666667,0.066666667,0.070588235,0.075949367,0.136363636,0.12244898,0.074074074,0.103896104,0.065934066,0.115384615,0.068965517,0.078947368,0.081081081,0.074626866,0.066666667,0.02,0.104477612,0.133333333,0.040322581,0.054347826,0.032467532,0.111111111,0.130434783,0.076923077,0.073170732,0.072289157,0.085714286,0.125,0.005681818,0.040540541,0.016666667,0.04964539,0.060606061,0.004854369,0.098039216,0.195652174,0.140350877,0.092307692,0.147540984,0.132075472,0.060869565,0.077777778,0.097222222,0.115384615,0.111111111,0.054545455,0.101694915,0.082352941,0.081081081,0.254901961,0.109375,0.043478261,0.038461538,0.005181347,0.05785124,0.068965517,0.173913043,0,0.035874439,0.125,0.095238095,0.186440678,0.297297297,0.037037037,0.019230769,0.032258065,0.095238095,0.036458333,0.022988506,0.056451613,0.05785124,0.127659574,0.067567568,0.033333333,0.1,0.037735849,0.033333333,0.091836735,0.03125,0,0.081081081
J7,0.043478261,0.208955224,0.142857143,1,0.21875,0.065420561,0.06557377,0.02745098,0.023809524,0.066666667,0.142857143,0.131313131,0.071428571,0.11827957,0.176470588,0.098901099,0.241935484,0.088888889,0.220588235,0.090163934,0.034653465,0.104166667,0.052980132,0.030075188,0.06504065,0.090909091,0.090909091,0.03652968,0.098360656,0.107843137,0.053763441,0.086206897,0.090163934,0.117021277,0.095238095,0.080645161,0.116504854,0.074468085,0.0625,0.051546392,0.05982906,0.0625,0.084210526,0.042857143,0.086419753,0.01350135,0.060344828,0.121212121,0.098765432,0.126315789,0.25,0.11,0.092783505,0.097087379,0.107526882,0.102564103,0.115384615,0.081967213,0.073170732,0.063694268,0.146341463,0.12345679,0.100917431,0.125,0.120481928,0.106666667,0.105263158,0.079545455,0.094117647,0.09375,0.137931034,0.10989011,0.097560976,0.128205128,0.111111111,0.1,0.092592593,0.108108108,0.134146341,0.078740157,0.105263158,0.063694268,0.145631068,0.088607595,0.095238095,0.103448276,0.077777778,0.105263158,0.111111111,0.039325843,0.065789474,0.131147541,0.054054054,0.118811881,0.038647343,0.090909091,0.166666667,0.106060606,0.112676056,0.098591549,0.133333333,0.101694915,0.105263158,0.115384615,0.137931034,0.133333333,0.068965517,0.123076923,0.098901099,0.128205128,0.107692308,0.097222222,0.076923077,0.068965517,0.035897436,0.114754098,0.086021505,0.126582278,0.107142857,0.048245614,0.15942029,0.149425287,0.258064516,0.098039216,0.084745763,0.070175439,0.074626866,0.108108108,0.050761421,0.054347826,0.0859375,0.079365079,0.12962963,0.115384615,0.072368421,0.156626506,0.086206897,0.111111111,0.138613861,0.078947368,0.047619048,0.086419753
L1,0.116564417,0.144578313,0.076923077,0.21875,1,0.185185185,0.190082645,0.073929961,0.064189189,0.183333333,0.12244898,0.125,0.214285714,0.113207547,0.15625,0.151515152,0.213333333,0.142857143,0.293333333,0.157480315,0.098522167,0.196428571,0.161073826,0.090909091,0.106870229,0.145833333,0.145833333,0.110599078,0.129770992,0.154545455,0.12,0.157024793,0.157480315,0.155339806,0.14159292,0.121212121,0.183486239,0.197916667,0.127118644,0.104761905,0.112903226,0.127118644,0.17,0.063926941,0.108695652,0.022421525,0.12295082,0.126126126,0.107526882,0.152380952,0.27027027,0.116071429,0.111111111,0.104347826,0.114285714,0.149425287,0.2,0.131782946,0.108695652,0.071005917,0.090909091,0.117021277,0.12605042,0.164948454,0.150537634,0.127906977,0.084507042,0.112244898,0.091836735,0.112149533,0.111111111,0.15,0.094736842,0.172413793,0.146341463,0.120879121,0.123076923,0.142857143,0.175824176,0.102189781,0.166666667,0.117283951,0.118644068,0.063829787,0.115789474,0.145833333,0.099009901,0.139534884,0.146341463,0.111731844,0.128205128,0.185714286,0.082802548,0.114035088,0.111650485,0.107438017,0.1,0.074074074,0.134146341,0.12195122,0.108108108,0.090909091,0.133333333,0.134831461,0.111111111,0.123287671,0.078125,0.144736842,0.163265306,0.186046512,0.061728395,0.148148148,0.111111111,0.117647059,0.107692308,0.162790698,0.116504854,0.119565217,0.245901639,0.090517241,0.160493827,0.14,0.46031746,0.060606061,0.164179104,0.119402985,0.146666667,0.141666667,0.088669951,0.121212121,0.159090909,0.145038168,0.086956522,0.122222222,0.120253165,0.170212766,0.166666667,0.183098592,0.303030303,0.078431373,0.07826087,0.096774194
L4,0.313253012,0.056451613,0.019230769,0.065420561,0.185185185,1,0.285714286,0.168539326,0.143322476,0.289855072,0.089552239,0.14893617,0.666666667,0.140740741,0.047619048,0.239669421,0.067226891,0.233333333,0.108333333,0.196078431,0.210280374,0.170454545,0.30625,0.16967509,0.292857143,0.237288136,0.237288136,0.231111111,0.202614379,0.244274809,0.298245614,0.197278912,0.196078431,0.24,0.240601504,0.202614379,0.195652174,0.36036036,0.3203125,0.277310924,0.318181818,0.3203125,0.296610169,0.190265487,0.095238095,0.042553191,0.291044776,0.066225166,0.07751938,0.246031746,0.101694915,0.125874126,0.147058824,0.131944444,0.085106383,0.172413793,0.136842105,0.151898734,0.243243243,0.160427807,0.082706767,0.084615385,0.259259259,0.262711864,0.211864407,0.117647059,0.046296296,0.082089552,0.1,0.165413534,0.074074074,0.227642276,0.102362205,0.095238095,0.160714286,0.104,0.172043011,0.147826087,0.134920635,0.206451613,0.291666667,0.24,0.070063694,0.038167939,0.234782609,0.247863248,0.157480315,0.185840708,0.150442478,0.243386243,0.211428571,0.214285714,0.233532934,0.21641791,0.210045662,0.156462585,0.036697248,0.042372881,0.162162162,0.113043478,0.072727273,0.208053691,0.139705882,0.10483871,0.064220183,0.063063063,0.216783217,0.098214286,0.127819549,0.112903226,0.008264463,0.14159292,0.104166667,0.142857143,0.247524752,0.184713376,0.135338346,0.0859375,0.12,0.179591837,0.101694915,0.086956522,0.142857143,0.029126214,0.175257732,0.180851064,0.22,0.108974359,0.241545894,0.27826087,0.243421053,0.256756757,0.047169811,0.151260504,0.252941176,0.131782946,0.22826087,0.263157895,0.25,0.045977011,0.221374046,0.095238095
L7,0.29281768,0.042553191,0.016666667,0.06557377,0.190082645,0.285714286,1,0.344262295,0.320143885,0.830188679,0.102040816,0.163398693,0.346456693,0.103896104,0.032786885,0.169014085,0.07518797,0.163120567,0.120300752,0.16374269,0.322115385,0.122641509,0.717557252,0.283018868,0.186746988,0.14893617,0.14893617,0.31981982,0.169590643,0.169934641,0.233082707,0.149700599,0.150289017,0.171232877,0.175324675,0.162790698,0.14556962,0.368852459,0.201298701,0.166666667,0.202531646,0.201298701,0.207142857,0.122047244,0.062068966,0.048372911,0.211538462,0.092592593,0.047297297,0.184931507,0.097744361,0.092592593,0.081761006,0.071856287,0.104575163,0.085714286,0.087719298,0.229813665,0.175572519,0.114832536,0.052631579,0.053691275,0.1625,0.18705036,0.127659574,0.103703704,0.057377049,0.087837838,0.052980132,0.089171975,0.064516129,0.136054422,0.046979866,0.184615385,0.097744361,0.062068966,0.116071429,0.112781955,0.074324324,0.16,0.155405405,0.213541667,0.088757396,0.048275862,0.104895105,0.14893617,0.072368421,0.094890511,0.081481481,0.293814433,0.266666667,0.163793103,0.15625,0.169934641,0.306976744,0.081395349,0.040322581,0.02962963,0.074074074,0.074626866,0.072,0.132947977,0.11038961,0.092857143,0.064516129,0.072,0.124260355,0.094488189,0.106666667,0.184615385,0.014705882,0.074074074,0.12962963,0.142857143,0.34,0.188235294,0.113333333,0.076388889,0.230769231,0.173076923,0.081481481,0.064102564,0.180327869,0.016666667,0.101694915,0.104347826,0.12195122,0.118343195,0.181818182,0.207407407,0.25,0.231707317,0.032520325,0.125,0.22459893,0.08,0.131578947,0.214285714,0.190789474,0.07,0.142857143,0.047619048
L10,0.302491103,0.021978022,0.007936508,0.02745098,0.073929961,0.168539326,0.344262295,1,0.521341463,0.364016736,0.072992701,0.115107914,0.174418605,0.067137809,0.015748031,0.095588235,0.037735849,0.092250923,0.052434457,0.114478114,0.300319489,0.05907173,0.378378378,0.413173653,0.138408304,0.084870849,0.084870849,0.323987539,0.117845118,0.110714286,0.138461538,0.098305085,0.107023411,0.105839416,0.117857143,0.11409396,0.086805556,0.210526316,0.178438662,0.132075472,0.183823529,0.178438662,0.144486692,0.219298246,0.04379562,0.098755187,0.175824176,0.054607509,0.032374101,0.109090909,0.045112782,0.051020408,0.055555556,0.050675676,0.06360424,0.051851852,0.044897959,0.153846154,0.1,0.070381232,0.03180212,0.028469751,0.100346021,0.095940959,0.077777778,0.068441065,0.027559055,0.057761733,0.031914894,0.059440559,0.047619048,0.087272727,0.032258065,0.095785441,0.057034221,0.032490975,0.075313808,0.072796935,0.050541516,0.120401338,0.093862816,0.169871795,0.053333333,0.025270758,0.070110701,0.084870849,0.049822064,0.060150376,0.053030303,0.325259516,0.208053691,0.085365854,0.109717868,0.122743682,0.319488818,0.063545151,0.027559055,0.018796992,0.045283019,0.057471264,0.043137255,0.089700997,0.078291815,0.06741573,0.039370079,0.043137255,0.080536913,0.062745098,0.068100358,0.1,0.007462687,0.045283019,0.067226891,0.078838174,0.369863014,0.120805369,0.067857143,0.039855072,0.092436975,0.197260274,0.045112782,0.034722222,0.069767442,0.007936508,0.048,0.06147541,0.071428571,0.073578595,0.208955224,0.117424242,0.142372881,0.139931741,0.015686275,0.071428571,0.157051282,0.046263345,0.06097561,0.102880658,0.113879004,0.030172414,0.149253731,0.028776978
L11,0.273584906,0.019230769,0.006872852,0.023809524,0.064189189,0.143322476,0.320143885,0.521341463,1,0.317689531,0.060509554,0.094043887,0.151515152,0.062305296,0.013651877,0.083601286,0.032894737,0.080645161,0.045751634,0.097922849,0.319526627,0.050724638,0.315614618,0.359042553,0.12195122,0.074193548,0.074193548,0.364705882,0.097633136,0.097178683,0.112956811,0.086826347,0.094674556,0.092651757,0.103448276,0.097633136,0.076452599,0.181818182,0.148387097,0.133779264,0.157051282,0.148387097,0.133333333,0.184415584,0.038338658,0.098307816,0.165048544,0.045045045,0.028391167,0.095541401,0.039344262,0.045045045,0.048929664,0.041666667,0.055900621,0.045307443,0.038732394,0.135384615,0.086956522,0.063157895,0.027950311,0.025,0.078549849,0.083870968,0.061093248,0.066666667,0.023890785,0.047318612,0.028037383,0.055555556,0.041237113,0.073015873,0.028301887,0.079734219,0.04620462,0.028481013,0.064748201,0.063333333,0.044303797,0.090379009,0.072100313,0.144475921,0.044117647,0.022151899,0.064724919,0.067307692,0.04375,0.052459016,0.04620462,0.331230284,0.173529412,0.073684211,0.097765363,0.107594937,0.395061728,0.056213018,0.023890785,0.016393443,0.039473684,0.05,0.037414966,0.079411765,0.065420561,0.055374593,0.034129693,0.037414966,0.071216617,0.050847458,0.056426332,0.083333333,0.006514658,0.039473684,0.057761733,0.067857143,0.250712251,0.116766467,0.059561129,0.034920635,0.079422383,0.16097561,0.039344262,0.03058104,0.060606061,0.006872852,0.041522491,0.060498221,0.06185567,0.058823529,0.184,0.102310231,0.125748503,0.123493976,0.013605442,0.062295082,0.152737752,0.040625,0.052631579,0.088652482,0.093167702,0.025830258,0.141447368,0.025236593
L13,0.303370787,0.043165468,0.016949153,0.066666667,0.183333333,0.289855072,0.830188679,0.364016736,0.317689531,1,0.103448276,0.173333333,0.330708661,0.105263158,0.033333333,0.171428571,0.076335878,0.165467626,0.122137405,0.165680473,0.293838863,0.125,0.615942029,0.256505576,0.196319018,0.151079137,0.151079137,0.270742358,0.171597633,0.17218543,0.246153846,0.151515152,0.152046784,0.173611111,0.177631579,0.164705882,0.147435897,0.375,0.21192053,0.177304965,0.212903226,0.21192053,0.218978102,0.12749004,0.070422535,0.047535211,0.222222222,0.09375,0.047945205,0.195804196,0.099236641,0.09375,0.08974359,0.079268293,0.105960265,0.086956522,0.089285714,0.225,0.1875,0.115942029,0.053333333,0.054421769,0.164556962,0.198529412,0.137681159,0.113636364,0.058333333,0.089041096,0.053691275,0.097402597,0.06557377,0.145833333,0.047619048,0.1875,0.099236641,0.062937063,0.128440367,0.123076923,0.075342466,0.168604651,0.157534247,0.222222222,0.089820359,0.048951049,0.114285714,0.151079137,0.080536913,0.104477612,0.082706767,0.283505155,0.269662921,0.17699115,0.164021164,0.17218543,0.268181818,0.088757396,0.040983607,0.030075188,0.07518797,0.083969466,0.073170732,0.134502924,0.119205298,0.094202899,0.06557377,0.073170732,0.13253012,0.096,0.108108108,0.1875,0.014925373,0.07518797,0.142857143,0.155963303,0.297560976,0.19760479,0.12244898,0.077464789,0.2,0.178988327,0.082706767,0.064935065,0.173553719,0.016949153,0.103448276,0.116071429,0.133333333,0.119760479,0.188596491,0.210526316,0.260869565,0.242236025,0.033057851,0.126865672,0.233695652,0.081081081,0.133928571,0.218181818,0.185430464,0.071428571,0.152317881,0.048275862
