0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
A1,1,0.191011236,0.24,0.365853659,0.460526316,0.597560976,0.49382716,0.571428571,0.571428571,0.487804878,0.493670886,0.49382716,0.643835616,0.525641026,0.191176471,0.430379747,0.416666667,0.41025641,0.418604651,0.447916667,0.590909091,0.220588235,0.476744186,0.494252874,0.571428571,0.441558442,0.441558442,0.825396825,0.410526316,0.397849462,0.460526316,0.389473684,0.382352941,0.421686747,0.375,0.462365591,0.372340426,0.59375,0.397590361,0.367647059,0.472972973,0.397590361,0.422535211,0.5375,0.253968254,0.505494505,0.438356164,0.451219512,0.36,0.578947368,0.512820513,0.341772152,0.449275362,0.344827586,0.391304348,0.48,0.422535211,0.421686747,0.455882353,0.597222222,0.298850575,0.289473684,0.512820513,0.542857143,0.520547945,0.310810811,0.313432836,0.420289855,0.36,0.476923077,0.245901639,0.547945205,0.385714286,0.4,0.369863014,0.283783784,0.171875,0.378787879,0.443037975,0.577464789,0.506493506,0.443181818,0.345679012,0.231884058,0.458333333,0.521126761,0.435483871,0.462686567,0.426470588,0.528571429,0.573529412,0.420289855,0.561643836,0.45,0.527777778,0.466666667,0.303030303,0.230769231,0.411764706,0.376811594,0.353846154,0.447058824,0.492957746,0.426470588,0.365079365,0.40625,0.507246377,0.421875,0.432432432,0.349206349,0.289855072,0.362318841,0.26984127,0.253968254,0.4875,0.421052632,0.425287356,0.307692308,0.283333333,0.469879518,0.298701299,0.369047619,0.493506494,0.24,0.2375,0.205479452,0.434210526,0.493506494,0.548387097,0.5375,0.575342466,0.608695652,0.263888889,0.3625,0.459770115,0.35483871,0.125,0.310810811,0.458823529,0.112903226,0.343283582,0.384615385
H1,0.191011236,1,0.338461538,0.277108434,0.265060241,0.25,0.385542169,0.340425532,0.340425532,0.380952381,0.258426966,0.263736264,0.212765957,0.241758242,0.293103448,0.320987654,0.298850575,0.333333333,0.348837209,0.385416667,0.207317073,0.222222222,0.375,0.377777778,0.298969072,0.3125,0.3125,0.184782609,0.347368421,0.319148936,0.265060241,0.4,0.40625,0.287356322,0.369565217,0.354166667,0.397727273,0.230769231,0.170212766,0.0875,0.095744681,0.170212766,0.079545455,0.244680851,0.106060606,0.297029703,0.125,0.298850575,0.215189873,0.1875,0.244444444,0.25,0.189873418,0.275862069,0.402298851,0.179775281,0.172839506,0.317647059,0.120481928,0.224719101,0.320987654,0.243243243,0.258426966,0.186046512,0.153846154,0.197368421,0.138888889,0.15,0.263157895,0.216216216,0.147540984,0.175824176,0.263888889,0.148648649,0.382352941,0.390625,0.095238095,0.214285714,0.24137931,0.261904762,0.222222222,0.32967033,0.256097561,0.274193548,0.222222222,0.186046512,0.169014085,0.179487179,0.197368421,0.097826087,0.174418605,0.15,0.227272727,0.279069767,0.094736842,0.130434783,0.212121212,0.232876712,0.184210526,0.155844156,0.138888889,0.285714286,0.136363636,0.166666667,0.126760563,0.12,0.152941176,0.133333333,0.19047619,0.179104478,0.317460317,0.189189189,0.088235294,0.123076923,0.361445783,0.291139241,0.475,0.506666667,0.028985507,0.274725275,0.205128205,0.453333333,0.282352941,0.298507463,0.223684211,0.301587302,0.320512821,0.329268293,0.339805825,0.244680851,0.211111111,0.220930233,0.287878788,0.391891892,0.344444444,0.538461538,0.209677419,0.246575342,0.340909091,0.125,0.063291139,0.135135135
F3,0.24,0.338461538,1,0.256756757,0.373134328,0.272727273,0.259259259,0.22826087,0.22826087,0.256097561,0.414285714,0.397260274,0.2625,0.369863014,0.409090909,0.323943662,0.428571429,0.31884058,0.373333333,0.304347826,0.264705882,0.084745763,0.285714286,0.261363636,0.284090909,0.277777778,0.277777778,0.2,0.337209302,0.275862069,0.314285714,0.298850575,0.326086957,0.269230769,0.329411765,0.314606742,0.294117647,0.317460317,0.154761905,0.104477612,0.168831169,0.154761905,0.108108108,0.3,0.153846154,0.311111111,0.102564103,0.428571429,0.383333333,0.188235294,0.394366197,0.260869565,0.265625,0.462686567,0.252873563,0.373134328,0.171428571,0.207317073,0.095890411,0.263157895,0.362318841,0.462962963,0.253164557,0.236111111,0.194805195,0.368421053,0.277777778,0.234375,0.257575758,0.241935484,0.212765957,0.236842105,0.21875,0.263157895,0.421052632,0.407407407,0.037037037,0.263157895,0.397058824,0.24,0.227848101,0.213483146,0.363636364,0.32,0.323076923,0.236111111,0.147540984,0.161764706,0.238095238,0.142857143,0.205479452,0.179104478,0.283783784,0.2125,0.1375,0.213333333,0.288461538,0.4,0.305084746,0.310344828,0.301886792,0.223529412,0.225352113,0.21875,0.218181818,0.245614035,0.180555556,0.263157895,0.318181818,0.269230769,0.590909091,0.271186441,0.12962963,0.176470588,0.25,0.289855072,0.265060241,0.298701299,0.035714286,0.2875,0.285714286,0.263157895,0.5,0.761904762,0.212121212,0.169491525,0.304347826,0.352112676,0.262626263,0.3,0.28,0.295774648,0.285714286,0.25,0.213483146,0.35443038,0.087719298,0.114285714,0.381578947,0.063829787,0.092307692,0.109375
J7,0.365853659,0.277108434,0.256756757,1,0.460526316,0.364583333,0.32967033,0.32,0.360824742,0.326086957,0.43902439,0.406976744,0.363636364,0.43373494,0.191176471,0.298850575,0.4875,0.294117647,0.435294118,0.404040404,0.25,0.185714286,0.336842105,0.326530612,0.375,0.353658537,0.353658537,0.337209302,0.456521739,0.368421053,0.261363636,0.404255319,0.424242424,0.388235294,0.434782609,0.431578947,0.449438202,0.228915663,0.247311828,0.17721519,0.238636364,0.247311828,0.231707317,0.447058824,0.128571429,0.457446809,0.220930233,0.451219512,0.36,0.411764706,0.475,0.432432432,0.315789474,0.376470588,0.438202247,0.37037037,0.294871795,0.311111111,0.32,0.352941176,0.486842105,0.256410256,0.404761905,0.367088608,0.353658537,0.310810811,0.257142857,0.306666667,0.342105263,0.371428571,0.151515152,0.361445783,0.293333333,0.246575342,0.265822785,0.25,0.136363636,0.263888889,0.443037975,0.365853659,0.348837209,0.336842105,0.434210526,0.214285714,0.363636364,0.333333333,0.202702703,0.306666667,0.385714286,0.229885057,0.304878049,0.420289855,0.390243902,0.487179487,0.264367816,0.358024691,0.303030303,0.371428571,0.352112676,0.233766234,0.23943662,0.518518519,0.325,0.276315789,0.228571429,0.267605634,0.3,0.3,0.325,0.164383562,0.236111111,0.362318841,0.230769231,0.196969697,0.279569892,0.521126761,0.347826087,0.337078652,0.184615385,0.402298851,0.428571429,0.369047619,0.4375,0.207792208,0.414285714,0.294117647,0.434210526,0.419753086,0.411764706,0.351648352,0.277777778,0.247191011,0.421875,0.238636364,0.395604396,0.340425532,0.125,0.293333333,0.425287356,0.095238095,0.184210526,0.304347826
L1,0.460526316,0.265060241,0.373134328,0.460526316,1,0.477272727,0.463414634,0.408602151,0.408602151,0.457831325,0.426829268,0.445783133,0.525641026,0.404761905,0.355932203,0.454545455,0.573333333,0.434210526,0.635135135,0.516483516,0.424657534,0.205882353,0.5,0.482758621,0.43956044,0.41025641,0.41025641,0.443037975,0.477777778,0.482758621,0.447368421,0.471910112,0.458333333,0.426829268,0.471910112,0.5,0.471264368,0.442857143,0.263736264,0.164556962,0.285714286,0.263736264,0.315789474,0.584415584,0.164179104,0.563218391,0.268292683,0.512820513,0.346666667,0.367816092,0.625,0.296296296,0.302631579,0.414634146,0.380434783,0.375,0.265822785,0.344827586,0.225,0.325581395,0.382716049,0.405797101,0.4625,0.445945946,0.30952381,0.333333333,0.318181818,0.310810811,0.174418605,0.301369863,0.209677419,0.417721519,0.185185185,0.428571429,0.394366197,0.402985075,0.072463768,0.25,0.430379747,0.441558442,0.32183908,0.298969072,0.367088608,0.217391304,0.333333333,0.3375,0.157894737,0.2125,0.28,0.358974359,0.394736842,0.405797101,0.4125,0.337209302,0.379746835,0.297619048,0.214285714,0.283783784,0.319444444,0.253333333,0.260869565,0.311827957,0.363636364,0.333333333,0.287878788,0.328358209,0.226190476,0.343283582,0.438356164,0.37704918,0.419354839,0.309859155,0.253968254,0.258064516,0.475,0.445945946,0.351648352,0.404761905,0.333333333,0.551282051,0.302631579,0.325581395,0.80952381,0.373134328,0.342465753,0.208333333,0.44,0.5,0.388349515,0.469879518,0.443037975,0.375,0.267605634,0.255813953,0.35483871,0.453488372,0.142857143,0.333333333,0.708333333,0.096774194,0.155844156,0.186666667
L4,0.597560976,0.25,0.272727273,0.364583333,0.477272727,1,0.489361702,0.556701031,0.589473684,0.5,0.457446809,0.458333333,0.828947368,0.483870968,0.234567901,0.434782609,0.468085106,0.417582418,0.453608247,0.519230769,0.476190476,0.259259259,0.553191489,0.520408163,0.606382979,0.413043478,0.413043478,0.540229885,0.471153846,0.475247525,0.460674157,0.466019417,0.467889908,0.427083333,0.451923077,0.490384615,0.436893204,0.457831325,0.451612903,0.302325581,0.406593407,0.451612903,0.363636364,0.595505618,0.195121951,0.575757576,0.347826087,0.5,0.359550562,0.510869565,0.505494505,0.358695652,0.38372093,0.416666667,0.484848485,0.529411765,0.411764706,0.427083333,0.404761905,0.522727273,0.346938776,0.329545455,0.489130435,0.426966292,0.444444444,0.303370787,0.304878049,0.392857143,0.359550562,0.402439024,0.233766234,0.483146067,0.348837209,0.30952381,0.352272727,0.325581395,0.160493827,0.341463415,0.477777778,0.488636364,0.588235294,0.536842105,0.347368421,0.181818182,0.493975904,0.494117647,0.317073171,0.392857143,0.380952381,0.431818182,0.448275862,0.481012658,0.528735632,0.391752577,0.433333333,0.465909091,0.296296296,0.306818182,0.385542169,0.325581395,0.304878049,0.448979592,0.436781609,0.318181818,0.296296296,0.329268293,0.430232558,0.325301205,0.453488372,0.3,0.270588235,0.37804878,0.222222222,0.240506329,0.516483516,0.35106383,0.474226804,0.4375,0.2,0.532608696,0.367816092,0.395833333,0.488888889,0.333333333,0.356321839,0.273809524,0.505882353,0.472527473,0.598039216,0.510638298,0.456521739,0.444444444,0.279069767,0.376344086,0.536842105,0.435643564,0.265822785,0.397590361,0.606741573,0.086419753,0.252873563,0.313253012
L7,0.49382716,0.385542169,0.259259259,0.32967033,0.463414634,0.489361702,1,0.855263158,0.855263158,0.984848485,0.395604396,0.428571429,0.402173913,0.361702128,0.2,0.340659341,0.406593407,0.322222222,0.455555556,0.423076923,0.5,0.277777778,0.915492958,0.805194805,0.396039604,0.333333333,0.333333333,0.55,0.388349515,0.418367347,0.379310345,0.368932039,0.376146789,0.380434783,0.382352941,0.421568627,0.38,0.48,0.358695652,0.2,0.311111111,0.358695652,0.325301205,0.466666667,0.157894737,0.505154639,0.325581395,0.391304348,0.21978022,0.372340426,0.426966292,0.306818182,0.297619048,0.298969072,0.574712644,0.318681319,0.294117647,0.693333333,0.285714286,0.362637363,0.311827957,0.258823529,0.395604396,0.392857143,0.318681319,0.376623377,0.347222222,0.35443038,0.206521739,0.280487805,0.197183099,0.402298851,0.191011236,0.449275362,0.329268293,0.268292683,0.076923077,0.315789474,0.294736842,0.44047619,0.404494382,0.528089888,0.268817204,0.220779221,0.266666667,0.314606742,0.166666667,0.244186047,0.308641975,0.364705882,0.46835443,0.304878049,0.382022472,0.344086022,0.4,0.293478261,0.233766234,0.280487805,0.265060241,0.268292683,0.293333333,0.360824742,0.419753086,0.394736842,0.301369863,0.337837838,0.284090909,0.351351351,0.402439024,0.362318841,0.256410256,0.240963855,0.271428571,0.257142857,0.802816901,0.376470588,0.564705882,0.523809524,0.323076923,0.505747126,0.26744186,0.377777778,0.476190476,0.275,0.301204819,0.227848101,0.512820513,0.409090909,0.610526316,0.466666667,0.530864198,0.463414634,0.204819277,0.43902439,0.6,0.436170213,0.25,0.492957746,0.564705882,0.114285714,0.178571429,0.2375
L10,0.571428571,0.340425532,0.22826087,0.32,0.408602151,0.556701031,0.855263158,1,0.924050633,0.868421053,0.393939394,0.41,0.473684211,0.39,0.174418605,0.343434343,0.376237624,0.326530612,0.42,0.458715596,0.543209877,0.256097561,0.792682927,0.807228916,0.447619048,0.336734694,0.336734694,0.626506024,0.412844037,0.428571429,0.408602151,0.394495413,0.412280702,0.38,0.407407407,0.444444444,0.37962963,0.50617284,0.446808511,0.313953488,0.402173913,0.446808511,0.406976744,0.505263158,0.2375,0.539215686,0.404494382,0.404040404,0.22,0.428571429,0.422680412,0.285714286,0.290322581,0.304761905,0.574468085,0.378947368,0.32967033,0.682926829,0.337078652,0.40625,0.278846154,0.229166667,0.452631579,0.376344086,0.378947368,0.344827586,0.301204819,0.372093023,0.244897959,0.303370787,0.215189873,0.4,0.231578947,0.3875,0.333333333,0.25,0.144578313,0.321428571,0.326732673,0.450549451,0.462365591,0.580645161,0.277227723,0.193181818,0.315789474,0.361702128,0.26744186,0.311111111,0.344827586,0.459770115,0.494117647,0.325842697,0.425531915,0.402061856,0.494252874,0.354166667,0.247058824,0.247311828,0.288888889,0.306818182,0.333333333,0.43,0.448275862,0.376470588,0.308641975,0.341463415,0.362637363,0.337349398,0.4,0.329113924,0.224719101,0.280898876,0.25,0.2375,0.716049383,0.347368421,0.548387097,0.463157895,0.276315789,0.510638298,0.304347826,0.391752577,0.421052632,0.241758242,0.265957447,0.2,0.465909091,0.40625,0.690721649,0.505263158,0.569767442,0.505747126,0.206521739,0.449438202,0.615384615,0.445544554,0.21686747,0.426829268,0.5,0.098765432,0.279069767,0.264367816
L11,0.571428571,0.340425532,0.22826087,0.360824742,0.408602151,0.589473684,0.855263158,0.924050633,1,0.868421053,0.408163265,0.43877551,0.505376344,0.432989691,0.174418605,0.343434343,0.404040404,0.326530612,0.42,0.432432432,0.5625,0.256097561,0.8375,0.807228916,0.475728155,0.336734694,0.336734694,0.626506024,0.4,0.401869159,0.378947368,0.369369369,0.387931034,0.366336634,0.394495413,0.418181818,0.354545455,0.50617284,0.462365591,0.313953488,0.417582418,0.462365591,0.423529412,0.521276596,0.192771084,0.554455446,0.420454545,0.432989691,0.232323232,0.458333333,0.422680412,0.3125,0.318681319,0.304761905,0.608695652,0.408602151,0.375,0.703703704,0.38372093,0.451612903,0.278846154,0.229166667,0.4375,0.391304348,0.408602151,0.376470588,0.333333333,0.421686747,0.284210526,0.348837209,0.215189873,0.414893617,0.244680851,0.3875,0.318681319,0.25,0.158536585,0.353658537,0.31372549,0.466666667,0.494505495,0.615384615,0.264705882,0.193181818,0.344086022,0.391304348,0.26744186,0.340909091,0.376470588,0.476744186,0.548780488,0.356321839,0.456521739,0.416666667,0.511627907,0.382978723,0.292682927,0.274725275,0.288888889,0.352941176,0.333333333,0.444444444,0.465116279,0.392857143,0.308641975,0.341463415,0.409090909,0.353658537,0.448275862,0.329113924,0.224719101,0.310344828,0.282051282,0.269230769,0.716049383,0.376344086,0.582417582,0.463157895,0.276315789,0.56043956,0.348314607,0.40625,0.421052632,0.241758242,0.293478261,0.227272727,0.5,0.436170213,0.708333333,0.474226804,0.569767442,0.523255814,0.206521739,0.449438202,0.670454545,0.417475728,0.21686747,0.4625,0.5,0.098765432,0.294117647,0.30952381
L13,0.487804878,0.380952381,0.256097561,0.326086957,0.457831325,0.5,0.984848485,0.868421053,0.868421053,1,0.406593407,0.43956044,0.413043478,0.372340426,0.197368421,0.336956522,0.417582418,0.318681319,0.466666667,0.419047619,0.513157895,0.273972603,0.902777778,0.794871795,0.405940594,0.32967033,0.32967033,0.543209877,0.384615385,0.414141414,0.390804598,0.365384615,0.372727273,0.376344086,0.378640777,0.417475728,0.376237624,0.473684211,0.369565217,0.211764706,0.322222222,0.369565217,0.337349398,0.477777778,0.171052632,0.515463918,0.337209302,0.387096774,0.217391304,0.382978723,0.422222222,0.318181818,0.30952381,0.309278351,0.586206897,0.32967033,0.290697674,0.684210526,0.297619048,0.373626374,0.308510638,0.255813953,0.406593407,0.388235294,0.32967033,0.38961039,0.342465753,0.367088608,0.204301075,0.292682927,0.194444444,0.413793103,0.188888889,0.442857143,0.325301205,0.265060241,0.08974359,0.328947368,0.291666667,0.452380952,0.415730337,0.539325843,0.265957447,0.217948718,0.277777778,0.325842697,0.178571429,0.255813953,0.320987654,0.376470588,0.4625,0.317073171,0.393258427,0.340425532,0.411764706,0.304347826,0.230769231,0.277108434,0.261904762,0.280487805,0.289473684,0.371134021,0.432098765,0.38961039,0.297297297,0.333333333,0.295454545,0.346666667,0.414634146,0.357142857,0.253164557,0.253012048,0.285714286,0.271428571,0.791666667,0.388235294,0.558139535,0.517647059,0.318181818,0.517241379,0.279069767,0.373626374,0.470588235,0.271604938,0.297619048,0.225,0.525641026,0.404494382,0.621052632,0.461538462,0.543209877,0.457831325,0.202380952,0.43373494,0.611764706,0.431578947,0.246575342,0.486111111,0.558139535,0.112676056,0.19047619,0.234567901
