0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
A1,1,0.170666667,0.085714286,0.194901316,0.340892465,0.465622873,0.493190661,0.580236486,0.58411215,0.486981678,0.331994645,0.347313237,0.477623457,0.389579633,0.074902724,0.383651945,0.237174721,0.375166003,0.257992565,0.426545661,0.618444846,0.077896787,0.535901926,0.562651576,0.388681592,0.365671642,0.365671642,0.807920792,0.409192825,0.398939305,0.372635561,0.387620192,0.413176996,0.386008745,0.409836066,0.418244406,0.378705384,0.536379019,0.320577617,0.295927602,0.469740634,0.320577617,0.294520548,0.31670282,0.147085202,0.380670611,0.352742616,0.256331543,0.257852447,0.411714771,0.308668076,0.27301092,0.209958506,0.327501749,0.215669756,0.227917981,0.051546392,0.160667252,0.117768595,0.324,0.285714286,0.281960227,0.368591823,0.407917384,0.388654194,0.219770521,0.08110687,0.126811594,0.252373418,0.251528384,0.109004739,0.44109112,0.241042345,0.177958446,0.279792746,0.233486943,0.077894737,0.278861789,0.355417957,0.286970424,0.424347826,0.423995341,0.348133848,0.184931507,0.243739566,0.423323615,0.229885057,0.268707483,0.133023256,0.459412781,0.204399633,0.23880597,0.450149254,0.353982301,0.474634566,0.319732441,0.069364162,0.144851658,0.138913624,0.27734375,0.098788444,0.355421687,0.217573222,0.144194757,0.109972041,0.131386861,0.233226837,0.14556962,0.215097403,0.172351885,0.143979058,0.121771218,0.063424947,0.126173097,0.559124088,0.286554004,0.306223479,0.264367816,0.089852008,0.341597796,0.131956912,0.290714286,0.320577617,0.09344894,0.085188771,0.066866267,0.166222222,0.333794057,0.470111449,0.462471132,0.455197133,0.454927885,0.085951941,0.144256456,0.347321429,0.359432799,0.063352827,0.134862385,0.366561514,0.00845666,0.175,0.107376284
H1,0.170666667,1,0.126732673,0.133676093,0.15041021,0.172720534,0.130128957,0.148409894,0.141116751,0.126450116,0.185463659,0.186102236,0.171752398,0.180066445,0.076612903,0.169089518,0.174006445,0.16913484,0.186243386,0.17961165,0.153263955,0.067729084,0.148543689,0.150337838,0.173728814,0.169505272,0.169505272,0.162037037,0.170481928,0.172301691,0.157060519,0.176709546,0.177177177,0.171286425,0.170063694,0.17345679,0.169062286,0.160298229,0.155188246,0.118181818,0.165873016,0.155188246,0.129651861,0.152073733,0.092592593,0.174347158,0.14159292,0.161220044,0.185375901,0.138686131,0.163800905,0.181514477,0.135723431,0.171378092,0.165775401,0.164108619,0.041763341,0.124251497,0.055785124,0.162695152,0.175688509,0.181992337,0.164269493,0.137820513,0.164983165,0.153627312,0.080769231,0.096091205,0.180863477,0.135704875,0.093065693,0.178065311,0.188279302,0.103915663,0.153386454,0.157718121,0.048611111,0.13220339,0.179300292,0.158305463,0.172885572,0.172715895,0.179566563,0.143459916,0.166243655,0.170945523,0.131868132,0.12591687,0.139084507,0.145342886,0.118975904,0.092352092,0.181182454,0.152845528,0.147442327,0.158677686,0.104508197,0.124430956,0.156862745,0.129511677,0.101449275,0.157643312,0.133333333,0.101522843,0.09540636,0.098522167,0.135355893,0.104761905,0.126520681,0.105263158,0.141975309,0.12369338,0.035714286,0.067085954,0.161841128,0.183550652,0.240038873,0.282632147,0.031390135,0.160067397,0.116504854,0.16713881,0.169144981,0.1015625,0.045627376,0.046218487,0.094534712,0.188976378,0.182048682,0.174147217,0.169278997,0.170145478,0.120593692,0.168576105,0.136969697,0.211267606,0.054766734,0.099009901,0.179733728,0.013227513,0.100443131,0.096256684
F3,0.085714286,0.126732673,1,0.119047619,0.09264854,0.091686092,0.075136612,0.083976834,0.071266968,0.074424899,0.099115044,0.097315436,0.092696629,0.094455852,0.101851852,0.092158448,0.118437118,0.090684254,0.110588235,0.098880597,0.089958159,0.052785924,0.093478261,0.080218778,0.092715232,0.093344857,0.093344857,0.074775673,0.09417596,0.094212651,0.087519026,0.090845563,0.09252451,0.08962963,0.093544137,0.09252218,0.087357955,0.082066869,0.086432161,0.072100313,0.086627418,0.086432161,0.074542897,0.089340102,0.070564516,0.100977199,0.071428571,0.133928571,0.075055188,0.106408706,0.116817724,0.09001233,0.085626911,0.11770428,0.079192547,0.084450402,0.042145594,0.074906367,0.047021944,0.089788732,0.078252033,0.074186992,0.090544872,0.104477612,0.090589888,0.081911263,0.063535912,0.073593074,0.088657106,0.077044025,0.05764411,0.095328283,0.088359046,0.0651341,0.091212458,0.087452471,0.033707865,0.082677165,0.102524866,0.087011349,0.095512821,0.094132818,0.098694943,0.077966102,0.086383602,0.093669251,0.069900143,0.084548105,0.068181818,0.069239501,0.084291188,0.082089552,0.095827901,0.090509666,0.069690265,0.095706619,0.093655589,0.093023256,0.081466395,0.084352078,0.088383838,0.086808511,0.087692308,0.092165899,0.064903846,0.069565217,0.081521739,0.070103093,0.082369942,0.064885496,0.117063492,0.070938215,0.023809524,0.044025157,0.089481947,0.133333333,0.089197225,0.08583691,0.029090909,0.100917431,0.089171975,0.103125,0.163616792,0.353146853,0.036111111,0.028846154,0.088803089,0.122507123,0.093956323,0.091743119,0.097529259,0.097769029,0.092071611,0.093686354,0.098124098,0.098793363,0.045731707,0.047109208,0.105222136,0.004878049,0.057728119,0.068292683
J7,0.194901316,0.133676093,0.119047619,1,0.208297321,0.209859155,0.144640999,0.18677686,0.166666667,0.140061792,0.208236208,0.210604929,0.191626409,0.241558442,0.06518283,0.212827988,0.202544031,0.211851852,0.206333973,0.241791045,0.193832599,0.083870968,0.182959641,0.192675159,0.218157182,0.208269525,0.208269525,0.191945159,0.23897497,0.234245703,0.227625088,0.223237598,0.236578171,0.218579235,0.236990596,0.236794171,0.220383852,0.179333903,0.176371308,0.139428571,0.195976155,0.176371308,0.138477801,0.198961938,0.134408602,0.216216216,0.154150198,0.193644489,0.177493138,0.176245211,0.243006993,0.186323092,0.146860987,0.214285714,0.149372862,0.172413793,0.040925267,0.129936306,0.071192053,0.202325581,0.197907585,0.187175043,0.212165098,0.170565302,0.220405494,0.134131737,0.080495356,0.103683492,0.178644764,0.151095732,0.080882353,0.226347305,0.163461538,0.111253197,0.177434031,0.155972359,0.040636042,0.16122449,0.203017833,0.170318725,0.226197696,0.226357535,0.211678832,0.143373494,0.151746725,0.226161369,0.145474138,0.146420824,0.115384615,0.162037037,0.11125158,0.137579618,0.228589033,0.203718048,0.16575592,0.191324555,0.07827476,0.120051086,0.097529259,0.161665053,0.087719298,0.210967251,0.140939597,0.103786816,0.090909091,0.098226467,0.143298969,0.110814419,0.150595883,0.11238825,0.134715026,0.106232295,0.030685921,0.048780488,0.202120141,0.218518519,0.197625106,0.168430335,0.04745167,0.19889065,0.140883978,0.196163906,0.226033421,0.098901099,0.057010786,0.054908486,0.147905759,0.234516928,0.244702321,0.238488784,0.230627306,0.232009926,0.140215716,0.10821382,0.152360515,0.218169305,0.064935065,0.110803324,0.247118156,0.009727626,0.12372449,0.106038292
L1,0.340892465,0.15041021,0.09264854,0.208297321,1,0.364109233,0.264957265,0.340221402,0.299524564,0.264455782,0.316326531,0.332223702,0.335247667,0.369994023,0.084710744,0.337696335,0.264937107,0.328938695,0.288976378,0.387478849,0.312405446,0.084536082,0.31501548,0.344309234,0.356164384,0.320296696,0.320296696,0.327586207,0.382237212,0.364117647,0.332914573,0.357013847,0.387892377,0.344099379,0.378441711,0.378779236,0.351154313,0.327053504,0.288307916,0.200523104,0.340310601,0.288307916,0.228499157,0.301400147,0.147141518,0.359707447,0.247381144,0.251582278,0.261922786,0.257232213,0.326951399,0.243690852,0.192013594,0.281837161,0.196551724,0.214227971,0.043243243,0.142470694,0.076519916,0.299461642,0.285923754,0.285819251,0.334632878,0.256756757,0.367011564,0.182709447,0.085599194,0.124881741,0.234248788,0.193073593,0.111665005,0.383475783,0.212046205,0.166199813,0.274942879,0.23782921,0.059016393,0.232142857,0.354920635,0.248995984,0.386836028,0.383902721,0.347424042,0.169894366,0.196830692,0.383188406,0.21875,0.203517588,0.120423892,0.298649722,0.181050657,0.172191529,0.377030162,0.327385038,0.305031447,0.304761905,0.080942623,0.147945205,0.128110599,0.239215686,0.108481262,0.332882273,0.200686106,0.12319538,0.110459433,0.124288425,0.220491803,0.130597015,0.194697597,0.170252572,0.145985401,0.11849711,0.043907794,0.089266738,0.369078947,0.24981577,0.296671491,0.271439224,0.085650723,0.307320442,0.143127962,0.26681128,0.451718494,0.092012133,0.087755102,0.05186722,0.162812211,0.318565401,0.429934706,0.397631134,0.379490151,0.375581395,0.117764471,0.128440367,0.23220339,0.34375,0.063655031,0.124643197,0.451856946,0.008978676,0.168674699,0.127617149
L4,0.465622873,0.172720534,0.091686092,0.209859155,0.364109233,1,0.335311573,0.453061224,0.398002853,0.335550628,0.38089406,0.396510229,0.776691117,0.46741573,0.078740157,0.456561922,0.282579787,0.449131514,0.291749175,0.537610619,0.383838384,0.080314961,0.46198407,0.442257218,0.486020226,0.437223975,0.437223975,0.414749662,0.522739726,0.497729852,0.475528701,0.493039443,0.531215772,0.481216458,0.506764374,0.515503876,0.487719298,0.427297668,0.358857884,0.236880466,0.416717886,0.358857884,0.251408451,0.424863388,0.149664929,0.48929471,0.293628809,0.260437376,0.29869281,0.376159886,0.342188488,0.296650718,0.239568345,0.359748428,0.213930348,0.270571827,0.04812398,0.161786237,0.092457421,0.378444581,0.311827957,0.318471338,0.41900777,0.362724014,0.461275626,0.210139603,0.0921875,0.145785877,0.269230769,0.248529412,0.107253086,0.506578947,0.255438596,0.174401198,0.322281167,0.265899865,0.048820179,0.285314685,0.422608696,0.305710306,0.499724518,0.493936053,0.388235294,0.187185025,0.281021898,0.492553778,0.246817539,0.246983676,0.136398467,0.337209302,0.190799397,0.240654206,0.517746479,0.373552712,0.347855684,0.372164316,0.078431373,0.165558019,0.154824233,0.283783784,0.114197531,0.3904068,0.228571429,0.149149923,0.114854518,0.139288418,0.272151899,0.15015015,0.232167832,0.174140508,0.157972079,0.135736196,0.045230263,0.087308003,0.507219083,0.323703217,0.340952381,0.326998689,0.067545305,0.445460483,0.145645646,0.337637185,0.366840731,0.085271318,0.093922652,0.057890563,0.178624813,0.391883323,0.580339321,0.5432984,0.494742667,0.493882091,0.099236641,0.164537941,0.30058651,0.428571429,0.06855792,0.141337386,0.455688623,0.006606111,0.171979244,0.111877395
L7,0.493190661,0.130128957,0.075136612,0.144640999,0.264957265,0.335311573,1,0.608050847,0.745123537,0.933333333,0.232680723,0.242159008,0.392156863,0.255667506,0.063649222,0.251612903,0.185352622,0.247639797,0.195535714,0.281564908,0.4906639,0.092753623,0.72962963,0.565906838,0.260053619,0.245311328,0.245311328,0.49695122,0.263004091,0.252944823,0.238289206,0.24744898,0.268491555,0.240691489,0.263837638,0.263565891,0.239382239,0.588490771,0.223880597,0.21920904,0.313862928,0.223880597,0.207291667,0.214226634,0.127892814,0.255930985,0.237623762,0.189990732,0.196678322,0.31,0.217813765,0.202067669,0.175531915,0.226370135,0.17965368,0.164410058,0.052050473,0.148104265,0.119815668,0.221391174,0.209302326,0.2039801,0.247159091,0.313203685,0.269055375,0.217751479,0.078838174,0.11375,0.198830409,0.189427313,0.104054054,0.280817799,0.19004065,0.156934307,0.21340388,0.18319169,0.058359621,0.22244489,0.245590231,0.199427481,0.280584297,0.280293758,0.229357798,0.154535274,0.181912682,0.277845777,0.184074457,0.193920335,0.119016818,0.405888538,0.174816626,0.171875,0.275968039,0.254601227,0.432176656,0.21257485,0.067700987,0.129564193,0.121065375,0.204887218,0.111709287,0.255255255,0.174840085,0.132985658,0.096858639,0.117128463,0.180376611,0.121472393,0.168539326,0.156553398,0.128386337,0.097964377,0.075782537,0.09653092,0.425259792,0.19897084,0.218597064,0.196428571,0.147208122,0.232612056,0.126550868,0.216736402,0.261538462,0.083102493,0.078651685,0.06231454,0.136255924,0.235893417,0.289979757,0.293001186,0.325063613,0.325641026,0.07310705,0.12969697,0.284444444,0.246298789,0.066473988,0.12899106,0.25467128,0.010084034,0.164449819,0.104774536
L10,0.580236486,0.148409894,0.083976834,0.18677686,0.340221402,0.453061224,0.608050847,1,0.794652406,0.631016043,0.315333333,0.327473958,0.481654957,0.371394938,0.078295342,0.366141732,0.250569476,0.359364659,0.258452292,0.425799087,0.492424242,0.084577114,0.681510165,0.594009983,0.375543141,0.351387949,0.351387949,0.527871622,0.402808989,0.393026005,0.361916772,0.37245509,0.413948256,0.362623762,0.39906378,0.405266171,0.359375,0.587819947,0.29706514,0.236888112,0.400969529,0.29706514,0.251046025,0.311046512,0.145190563,0.377645503,0.282134196,0.247113164,0.248169839,0.371666667,0.295774648,0.247104247,0.215008432,0.316526611,0.203375527,0.214511041,0.04916318,0.177797834,0.094552929,0.307436919,0.268223638,0.268085106,0.371803279,0.369712352,0.38592233,0.22311828,0.087719298,0.138218924,0.234042553,0.233449477,0.123781676,0.422965955,0.217285945,0.171064604,0.270972532,0.243348983,0.05334728,0.264012998,0.360902256,0.271348763,0.416957027,0.416569428,0.332051282,0.162414966,0.223421927,0.414235706,0.221947195,0.231218698,0.128759398,0.411814346,0.187728938,0.209409594,0.413833529,0.336949153,0.429292929,0.317171717,0.07367387,0.148049645,0.134892086,0.267032106,0.11623439,0.343143813,0.217612193,0.155321189,0.119161106,0.140858209,0.236437247,0.154201293,0.228215768,0.173952641,0.143109541,0.115348837,0.049893843,0.085801839,0.527757751,0.274063189,0.290550071,0.273192111,0.090322581,0.339112344,0.145488029,0.28962536,0.318777293,0.088607595,0.087684729,0.060483871,0.153161175,0.331245651,0.450477627,0.445977011,0.444179104,0.442111578,0.093484419,0.149592022,0.30762489,0.349784084,0.06231454,0.13594041,0.360987967,0.007526882,0.17876588,0.115458015
L11,0.58411215,0.141116751,0.071266968,0.166666667,0.299524564,0.398002853,0.745123537,0.794652406,1,0.779683377,0.277185501,0.288381743,0.449494949,0.319852941,0.070422535,0.313576844,0.215702479,0.306889353,0.230706076,0.348432056,0.493919551,0.079102715,0.698585419,0.612604263,0.317829457,0.303724928,0.303724928,0.562679426,0.33621186,0.325030377,0.299279633,0.311028501,0.338294219,0.303732304,0.331930247,0.335090803,0.301310044,0.621378621,0.263320463,0.235294118,0.373234201,0.263320463,0.240827846,0.265940902,0.141955836,0.316080055,0.273712737,0.220625528,0.225160256,0.359851989,0.254901961,0.22572402,0.200189753,0.273542601,0.196172249,0.193350831,0.056194125,0.169948187,0.11125,0.262676056,0.241167435,0.238095238,0.312328767,0.361320755,0.331648768,0.221993834,0.087962963,0.130107527,0.218229623,0.222879684,0.121699196,0.359857482,0.206708976,0.173178458,0.240710824,0.208725406,0.062659847,0.253405995,0.294422827,0.238636364,0.350835322,0.350929814,0.279085407,0.158560311,0.207635009,0.348530294,0.217350746,0.224316682,0.122672508,0.412264151,0.186243386,0.194736842,0.346177002,0.291157441,0.430451128,0.260623229,0.07251462,0.134888438,0.128898129,0.248484848,0.117913832,0.296532201,0.204198473,0.1484375,0.118834081,0.139281828,0.219314079,0.147435897,0.201843318,0.174050633,0.132725431,0.108342362,0.061357702,0.097772277,0.480945122,0.243415802,0.255884586,0.230950511,0.111405836,0.292341679,0.139807898,0.255054432,0.287175452,0.085253456,0.08032596,0.060532688,0.146516393,0.286666667,0.370257967,0.373239437,0.389714994,0.389027431,0.080308031,0.144654088,0.308151093,0.296391753,0.061465721,0.132321041,0.302310231,0.00794702,0.16373057,0.110738255
L13,0.486981678,0.126450116,0.074424899,0.140061792,0.264455782,0.335550628,0.933333333,0.631016043,0.779683377,1,0.236090226,0.244541485,0.394666667,0.264055591,0.061538462,0.253934192,0.186318632,0.25,0.198575245,0.288770053,0.485596708,0.093390805,0.696385542,0.568181818,0.260521042,0.247754491,0.247754491,0.481481481,0.267836257,0.259627329,0.245578231,0.253512133,0.272568433,0.247003995,0.269704433,0.269253731,0.245489691,0.590909091,0.220576132,0.217488789,0.314197052,0.220576132,0.204545455,0.214991763,0.130909091,0.256446991,0.235988201,0.192059095,0.194444444,0.315684316,0.217566479,0.197392924,0.174234424,0.226086957,0.1783029,0.1621881,0.051482059,0.146886016,0.118541033,0.218424963,0.209090909,0.20478943,0.251242016,0.317671093,0.276109661,0.211695906,0.076607387,0.110012361,0.194015444,0.189277899,0.101604278,0.284254808,0.188698285,0.155609168,0.212094654,0.183098592,0.056074766,0.225774226,0.248644986,0.190207156,0.281724347,0.281440781,0.234297812,0.15461624,0.175745118,0.278998779,0.186405767,0.197492163,0.119383825,0.397089397,0.170495768,0.169047619,0.279484029,0.257077276,0.417184265,0.21964018,0.065550907,0.128504673,0.118705036,0.203548086,0.113636364,0.254857997,0.176033934,0.133247089,0.097402597,0.1175,0.181459566,0.12180268,0.168527919,0.156626506,0.123399302,0.095717884,0.074918567,0.093889717,0.42971246,0.204974271,0.218344156,0.198305085,0.141666667,0.234206471,0.128236745,0.22361809,0.257845632,0.082304527,0.080892608,0.061674009,0.135135135,0.232684825,0.294177215,0.294849023,0.330362826,0.330981398,0.071059432,0.131325301,0.287929125,0.245144005,0.062767475,0.129277567,0.251719395,0.009966777,0.161676647,0.100917431
