0,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5,A1,H1,F3,J7,L1,L4,L7,L10,L11,L13,N3,R1,Y12,Y33,Y35,Z6,Z8,Z9,Z14,Z19,Z20,Z21,Z22,Z25,Z27,Z29,Z30,Z32,Z35,Z36,Z37,Z38,Z40,Z41,Z42,Z43,Z45,Z47,B2,B6,C2,D2,Q2,S6,Y34,Z1,Z31,A5,D3,D5,E1,F1,F6,F7,J4,J8,K1,L12,L18,L21,L23,L24,M2,Q3,Q4,Y2,Y8,Y9,Y14,Y15,Y16,Y20,Y31,Z3,Z11,Z12,Z13,Z49,F4,J1,L3,L8,M3,S4,Y6,Y17,Y18,Y22,Y23,D1,J9,K3,L2,N2,Q8,Y3,Y4,Y10,Y11,Y13,Y19,Y21,Y24,Y25,Y26,Y28,Y29,Y32,Y39,Z2,Z10,Z28,A6,A7,G2,S5,B7,F2,G1,C3,X1,Z4,A2,F5,K2,S1,Z16,Z18,Z23,Z34,Z48,Z50,D4,J6,L6,B5,L22,P1,S2,T1,W2,Y5
A1,1,0.333333333,0.444444444,0.357142857,0.173913043,0.1,0.285714286,0,0,0.444444444,0.131578947,0.166666667,0,0.153846154,0.178571429,0.210526316,0,0,0,0,0.142857143,0,0,0.181818182,0.066666667,0.037037037,0.035714286,0.24,0,0,0.058823529,0,0.2,0,0,0,0.173913043,0,0.545454545,0.133333333,0.058823529,0.117647059,0.107142857,0.25,0.096774194,0,0.107142857,0.071428571,0.080645161,0.066666667,0.058823529,0.104166667,0.044444444,0.071428571,0.021276596,0.088888889,0.029411765,0.357142857,0,0.181818182,0.047619048,0.1,0.2,0.333333333,0.142857143,0.142857143,0.013513514,0.037037037,0.06185567,0,0,0.146341463,0.128205128,0.022727273,0.147058824,0.088235294,0.035087719,0,0.19047619,0.074074074,0.047619048,0.069767442,0.130434783,0.070175439,0.294117647,0.069767442,0.051282051,0.03030303,0.066666667,0.115384615,0.24,0.151515152,0.142857143,0.217391304,0,0.127659574,0,0.1,0.171428571,0.172413793,0.192307692,0.171428571,0.285714286,0.076923077,0,0.03030303,0.111111111,0.03030303,0.055555556,0,0.210526316,0.133333333,0,0,0,0.151515152,0.09375,0.090909091,0.1,0.090909091,0.130434783,0.115384615,0.227272727,0.148148148,0.363636364,0.454545455,0.333333333,0.104477612,0.285714286,0,0.086956522,0.166666667,0,0.333333333,0.041666667,0.227272727,0,0,0.051948052,0,0.047619048,0.125,1,0,0,0,0,0.5,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0.5,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H1,0.333333333,1,0.266666667,0.388888889,0.137931034,0.0625,0.2,0,0,0.266666667,0.139534884,0.11627907,0,0.125,0.258064516,0.16,0,0.034482759,0,0,0.076923077,0,0,0.055555556,0.047619048,0.03030303,0.029411765,0.15625,0,0,0.043478261,0,0.25,0,0,0,0.137931034,0,0.277777778,0.045454545,0.090909091,0.166666667,0.088235294,0.181818182,0.212121212,0,0.088235294,0.105263158,0.106060606,0,0.043478261,0.134615385,0.05,0.05,0.018867925,0.078431373,0.025,0.25,0,0.142857143,0.076923077,0.0625,0.058823529,0.181818182,0.12195122,0.076923077,0.0125,0.133333333,0.068627451,0,0,0.127659574,0.111111111,0.02,0.184210526,0.102564103,0.06557377,0,0.148148148,0.029411765,0.037037037,0.06122449,0.066666667,0.13559322,0.217391304,0.06122449,0.068181818,0.025641026,0.047619048,0.060606061,0.193548387,0.1,0.095238095,0.214285714,0,0.134615385,0,0.037037037,0.175,0.212121212,0.193548387,0.205128205,0.222222222,0.084337349,0,0.052631579,0.118644068,0.025641026,0.041666667,0,0.208333333,0.111111111,0,0,0,0.1,0.171428571,0.14893617,0,0.058823529,0.16,0.129032258,0.178571429,0.193548387,0.235294118,0.294117647,0.368421053,0.066666667,0.178571429,0,0.08,0.096774194,0,0.222222222,0.033333333,0.269230769,0,0,0.035714286,0.125,0.076923077,0.135135135,0,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.090909091,0,0,0,0,0,0.076923077,0,0.076923077,0,0,0,0.2,0,0,0,0,0,0,0,0.071428571,0,0.076923077,0,0,0,0
F3,0.444444444,0.266666667,1,0.285714286,0.181818182,0,0.307692308,0,0,0.5,0.105263158,0.108108108,0,0.16,0.142857143,0.222222222,0,0,0,0,0,0,0,0.090909091,0.071428571,0.038461538,0.037037037,0.153846154,0,0,0,0,0.210526316,0.035714286,0,0,0.181818182,0,0.333333333,0,0,0.076923077,0.034482759,0.266666667,0.03125,0,0.034482759,0,0.047619048,0,0.0625,0.083333333,0.029411765,0.076923077,0.02173913,0.090909091,0.03030303,0.285714286,0,0.19047619,0,0,0,0.266666667,0.114285714,0,0.01369863,0.038461538,0.040816327,0,0,0.095238095,0.102564103,0.023255814,0.085714286,0.028571429,0.01754386,0,0.2,0,0,0.022727273,0.041666667,0.034482759,0.235294118,0.022727273,0,0,0.071428571,0.037037037,0.153846154,0.121212121,0.114285714,0.173913043,0,0.083333333,0,0,0.111111111,0.137931034,0.153846154,0.111111111,0.181818182,0.050632911,0,0,0.072727273,0.03125,0.058823529,0,0.222222222,0.178571429,0,0,0,0.121212121,0.096774194,0.093023256,0,0,0.085106383,0.037037037,0.181818182,0.153846154,0.4,0.363636364,0.266666667,0.057971014,0.181818182,0,0.057142857,0.08,0,0.363636364,0.043478261,0.181818182,0,0,0.038961039,0,0,0.129032258,0,0.125,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0.083333333,0,0,0,0,0,0.071428571,0,0.363636364,0,0,0,0.1875,0,0,0,0,0,0,0,0.066666667,0,0.071428571,0,0,0,0
J7,0.357142857,0.388888889,0.285714286,1,0.185185185,0.066666667,0.210526316,0,0,0.285714286,0.142857143,0.119047619,0,0.129032258,0.225806452,0.166666667,0,0,0,0,0.083333333,0,0,0.058823529,0.105263158,0.03125,0.03030303,0.2,0,0,0.045454545,0,0.16,0,0,0,0.142857143,0,0.294117647,0.1,0.095238095,0.107142857,0.090909091,0.19047619,0.114285714,0,0.090909091,0.052631579,0.107692308,0,0.045454545,0.137254902,0.057971014,0.111111111,0.019230769,0.08,0.025641026,0.263157895,0,0.148148148,0.038461538,0.066666667,0.0625,0.19047619,0.125,0.083333333,0.012658228,0.03125,0.069306931,0,0,0.155555556,0.113636364,0.020408163,0.189189189,0.135135135,0.084745763,0,0.153846154,0.03030303,0.038461538,0.085106383,0.107142857,0.1,0.227272727,0.085106383,0.095238095,0.026315789,0.05,0.0625,0.2,0.102564103,0.097560976,0.269230769,0,0.16,0,0.038461538,0.179487179,0.21875,0.2,0.210526316,0.28,0.098765432,0,0.054054054,0.140350877,0.026315789,0.043478261,0,0.166666667,0.147058824,0,0,0,0.102564103,0.081081081,0.104166667,0,0.0625,0.14,0.172413793,0.185185185,0.2,0.25,0.3125,0.388888889,0.067567568,0.185185185,0,0.066666667,0.1,0,0.235294118,0.034482759,0.28,0,0,0.036144578,0,0.08,0.138888889,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0.173913043,0.137931034,0.181818182,0.185185185,1,0,0.148148148,0,0,0.181818182,0.076923077,0.078431373,0,0.102564103,0.095238095,0.125,0,0,0,0,0,0,0,0.04,0.074074074,0.025,0.024390244,0.1,0,0,0,0,0.121212121,0,0,0,0.111111111,0,0.153846154,0,0,0.060606061,0.023255814,0.137931034,0.02173913,0,0.023255814,0.037037037,0.052631579,0,0.068965517,0.064516129,0.033557047,0.076923077,0.016666667,0.068965517,0.021276596,0.142857143,0,0.114285714,0,0,0,0.137931034,0.081632653,0,0.011494253,0.025,0.045045045,0,0,0.090909091,0.075471698,0.01754386,0.06122449,0.020408163,0.014084507,0,0.117647059,0,0,0.017241379,0.026315789,0.027777778,0.129032258,0.017241379,0.018867925,0,0.035714286,0.05,0.1,0.085106383,0.081632653,0.138888889,0,0.081967213,0,0,0.08,0.093023256,0.128205128,0.102040816,0.111111111,0.054347826,0,0,0.073529412,0.02173913,0.032258065,0,0.125,0.119047619,0,0,0,0.108695652,0.066666667,0.070175439,0,0,0.06557377,0.024390244,0.142857143,0.128205128,0.166666667,0.16,0.137931034,0.048192771,0.111111111,0,0.047619048,0.051282051,0,0.16,0.027027027,0.111111111,0,0,0.056179775,0,0,0.088888889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L4,0.1,0.0625,0,0.066666667,0,1,0,0,0,0,0.025641026,0.026315789,0.4,0,0.034482759,0,0,0,0,0,0.25,0,0,0,0,0,0,0.037037037,0,0,0.071428571,0,0,0,0,0,0.043478261,0,0.076923077,0.076923077,0.071428571,0.018867925,0.037037037,0,0.033333333,0,0.037037037,0.090909091,0.015873016,0,0,0.020408163,0.00729927,0,0,0,0,0.066666667,0,0,0.055555556,0.142857143,0.125,0,0.027777778,0.25,0,0,0.01010101,0,0,0.023255814,0,0,0.028571429,0.03030303,0.018181818,0,0,0.04,0.055555556,0.023809524,0.045454545,0.01754386,0.055555556,0.023809524,0.027027027,0.033333333,0,0.04,0.037037037,0,0,0.041666667,0,0.020408163,0,0.055555556,0.027027027,0.033333333,0.037037037,0.027027027,0.043478261,0.0125,0,0.033333333,0.017857143,0,0,0,0,0,0,0,0,0,0,0.022727273,0,0.125,0.020833333,0.04,0.043478261,0,0,0.083333333,0.0625,0.014285714,0.043478261,0,0.014084507,0.041666667,0,0,0,0.043478261,0,0,0,0,0.055555556,0,0.5,0,0,0,0,1,0.5,0.5,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7,0.285714286,0.2,0.307692308,0.210526316,0.148148148,0,1,0.090909091,0.066666667,0.545454545,0.093023256,0.095238095,0,0.133333333,0.121212121,0.173913043,0,0,0,0,0,0,0.090909091,0.133333333,0.052631579,0.032258065,0.03125,0.129032258,0,0,0,0,0.166666667,0,0,0,0.148148148,0.090909091,0.235294118,0,0,0.070175439,0.029411765,0.2,0.027027027,0,0.029411765,0,0.044117647,0,0.047619048,0.075471698,0.028368794,0.055555556,0.019607843,0.081632653,0.026315789,0.210526316,0,0.153846154,0,0,0,0.2,0.1,0,0.012820513,0.032258065,0.038834951,0,0,0.085106383,0.090909091,0.020833333,0.075,0.025,0.016129032,0,0.16,0,0,0.020408163,0.034482759,0.031746032,0.181818182,0.020408163,0,0,0.052631579,0.03125,0.129032258,0.105263158,0.1,0.142857143,0,0.075471698,0,0,0.097560976,0.117647059,0.129032258,0.097560976,0.148148148,0.047619048,0,0,0.066666667,0.027027027,0.045454545,0,0.173913043,0.117647059,0,0,0,0.105263158,0.083333333,0.083333333,0,0,0.076923077,0.03125,0.148148148,0.129032258,0.266666667,0.25,0.2,0.054054054,0.148148148,0,0.053333333,0.066666667,0,0.25,0.035714286,0.148148148,0,0,0.036585366,0,0,0.111111111,0.333333333,0,0,0,0,0.5,1,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L10,0,0,0,0,0,0,0.090909091,1,0.2,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.5,1,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L11,0,0,0,0,0,0,0.066666667,0.2,1,0.1,0.025,0,0,0.037037037,0,0.05,0.0625,0,0.0625,0,0,0,0.2,0.222222222,0.076923077,0.04,0.038461538,0,0,0,0.066666667,0.066666667,0.047619048,0.037037037,0.058823529,0.055555556,0.041666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0,0,0,0,0,0.017241379,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.022222222,0,0,0.020408163,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0.5,1,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L13,0.444444444,0.266666667,0.5,0.285714286,0.181818182,0,0.545454545,0.166666667,0.1,1,0.105263158,0.108108108,0,0.16,0.142857143,0.222222222,0,0,0,0,0,0,0.166666667,0.2,0.071428571,0.038461538,0.037037037,0.153846154,0,0,0,0,0.210526316,0,0,0,0.181818182,0.166666667,0.333333333,0,0,0.076923077,0.034482759,0.266666667,0.03125,0,0.034482759,0,0.047619048,0,0.0625,0.083333333,0.029411765,0.076923077,0.02173913,0.090909091,0.03030303,0.285714286,0,0.19047619,0,0,0,0.266666667,0.114285714,0,0.01369863,0.038461538,0.040816327,0,0,0.095238095,0.102564103,0.023255814,0.085714286,0.028571429,0.01754386,0,0.2,0,0,0.022727273,0.041666667,0.034482759,0.235294118,0.022727273,0,0,0.071428571,0.037037037,0.153846154,0.121212121,0.114285714,0.173913043,0,0.083333333,0,0,0.111111111,0.137931034,0.153846154,0.111111111,0.181818182,0.050632911,0,0,0.072727273,0.03125,0.058823529,0,0.222222222,0.137931034,0,0,0,0.121212121,0.096774194,0.093023256,0,0,0.085106383,0.037037037,0.181818182,0.153846154,0.4,0.363636364,0.266666667,0.057971014,0.181818182,0,0.057142857,0.08,0,0.363636364,0.043478261,0.181818182,0,0,0.038961039,0,0,0.129032258,0.333333333,0,0,0,0,0.5,1,1,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
